gene identifier,C1_raw,C2_raw,T1_raw,T2_raw
gi|161484641|ref|NM_026673.3|,263,391,501,466
gi|133892677|ref|NM_053109.2|,1290,767,949,895
gi|158533994|ref|NM_001110101.1|,0,4,0,4
gi|54027903|ref|NM_032543.1|,0,2,2,0
gi|142387942|ref|NM_153585.4|,101,276,210,148
gi|22779863|ref|NM_026772.1|,215,58,42,98
gi|108773812|ref|NM_001002929.3|,97,151,158,149
gi|83921619|ref|NM_019756.2|,64,51,64,69
gi|121674796|ref|NM_008917.2|,112,71,115,89
gi|226874894|ref|NM_013625.3|,685,1001,1055,915
gi|118130222|ref|NM_011056.2|,0,0,3,2
gi|37595741|ref|NM_029498.2|,70,135,171,138
gi|260064028|ref|NM_001042726.2|,52,142,233,166
gi|118129961|ref|NM_138309.2|,144,120,114,83
gi|40807501|ref|NM_015805.2|,81,85,63,95
gi|146141133|ref|NM_024225.4|,891,1076,873,1053
gi|146135073|ref|NM_025693.3|,125,180,209,160
gi|256355150|ref|NR_015508.1|,10,16,15,22
gi|142370490|ref|NM_177777.4|,51,48,60,33
gi|142384079|ref|NM_025452.3|,18,17,15,23
gi|218749872|ref|NM_009067.4|,905,392,351,472
gi|19424143|ref|NM_026906.2|,37,0,0,0
gi|118130919|ref|NM_133732.2|,163,105,86,117
gi|165932359|ref|NM_009263.2|,11529,8,14,12
gi|30519990|ref|NM_178637.1|,0,2,0,0
gi|34328321|ref|NM_023805.2|,17,11,10,3
gi|133892630|ref|NM_022880.2|,459,143,87,146
gi|145275166|ref|NM_008160.5|,1209,871,874,1029
gi|254939616|ref|NM_021327.2|,160,52,36,59
gi|309262796|ref|XM_001472091.2|,26,0,2,3
gi|164664505|ref|NM_001113394.1|,0,2,0,0
gi|114158676|ref|NM_028190.2|,94,181,295,150
gi|89274170|ref|NM_026408.3|,2,80,79,62
gi|133892753|ref|NM_009568.2|,4,9,11,3
gi|51591904|ref|NM_033477.1|,0,2,0,0
gi|141801912|ref|NM_030560.3|,6,8,9,14
gi|51317396|ref|NM_133788.1|,133,211,167,172
gi|133892163|ref|NM_019959.2|,35,0,0,0
gi|125630310|ref|NM_178889.3|,0,4,2,0
gi|229608917|ref|NM_181405.3|,314,285,211,240
gi|51172611|ref|NM_008096.1|,0,0,0,14
gi|33468896|ref|NM_010295.1|,4,3,2,4
gi|309263372|ref|XR_106972.1|,17,0,0,0
gi|40254547|ref|NM_019572.2|,166,454,552,455
gi|110347401|ref|NM_010066.3|,237,277,280,301
gi|91598585|ref|NM_001005506.2|,132,322,241,202
gi|146134457|ref|NM_173071.2|,6,18,12,17
gi|133892199|ref|NM_183175.3|,50,0,0,2
gi|142366188|ref|NM_030888.3|,0,25,37,16
gi|98986315|ref|NM_026582.3|,60,234,304,301
gi|118131199|ref|NM_016915.3|,157,53,82,64
gi|80861453|ref|NM_001036684.1|,2,0,0,0
gi|158508720|ref|NM_007915.4|,518,501,496,499
gi|160333608|ref|NR_003967.1|,349,205,56,149
gi|164664499|ref|NM_001113391.1|,23,0,0,0
gi|13507637|ref|NM_030700.1|,560,416,340,412
gi|46560562|ref|NM_011365.2|,151,91,91,128
gi|34328178|ref|NM_010602.2|,5,8,4,10
gi|124486611|ref|NM_001081017.1|,2,4,6,0
gi|20270197|ref|NM_025897.1|,110,139,125,152
gi|83816979|ref|NM_133734.2|,82,93,78,71
gi|118130684|ref|NM_023871.3|,346,1184,1535,1027
gi|160333431|ref|NM_026665.3|,93,258,289,258
gi|158508698|ref|NM_026979.4|,15,0,0,3
gi|118131121|ref|NM_001033209.2|,43,23,22,12
gi|31340562|ref|NM_012040.2|,4,5,4,3
gi|40254106|ref|NM_134037.2|,936,1605,2210,1171
gi|31543484|ref|NM_053187.2|,89,159,138,128
gi|114158673|ref|NM_025881.2|,110,280,264,190
gi|27734185|ref|NM_173388.1|,64,19,19,68
gi|6678422|ref|NM_009420.1|,2,0,0,0
gi|124487472|ref|NM_001081426.1|,49,44,54,41
gi|148540035|ref|NM_028331.4|,8,0,0,0
gi|161016757|ref|NM_001100461.2|,6,0,0,3
gi|118130121|ref|NM_011552.2|,5,30,18,25
gi|260280915|ref|NM_029601.2|,140,130,91,106
gi|124486856|ref|NM_001081282.1|,108,178,165,226
gi|142369173|ref|NM_172810.2|,3,0,0,0
gi|118130395|ref|NM_022883.2|,50,5,0,5
gi|118130457|ref|NM_177686.3|,37,0,0,4
gi|148540135|ref|NM_001081059.2|,25,9,7,28
gi|256222929|ref|NM_145574.2|,11,44,47,48
gi|146134467|ref|NM_011162.4|,12,359,266,157
gi|126722833|ref|NM_011607.2|,44,101,71,381
gi|47059160|ref|NM_199311.1|,17,0,0,0
gi|118130442|ref|NM_177562.4|,117,113,110,122
gi|256355155|ref|NR_015513.1|,0,5,8,7
gi|142381110|ref|NM_025538.2|,55,120,110,122
gi|48928013|ref|NM_133758.2|,121,126,134,127
gi|309268608|ref|XM_003084668.1|,2,0,0,0
gi|34328472|ref|NM_021312.4|,245,261,537,239
gi|23956211|ref|NM_028242.1|,723,682,687,815
gi|142344970|ref|NM_026048.3|,81,135,170,112
gi|309262677|ref|XM_003085819.1|,9,3,0,6
gi|124487212|ref|NM_001081154.1|,8,13,8,11
gi|146149078|ref|NM_153410.4|,60,238,314,167
gi|142387311|ref|NM_025565.2|,60,258,263,226
gi|142385298|ref|NM_001033374.2|,2,0,0,0
gi|158508666|ref|NM_078478.4|,921,657,650,720
gi|146149194|ref|NM_053165.4|,0,0,0,15
