Cancer,TF,logOR
BREAST,RDBP,0.418682104
LIVER,RDBP,0
LUNG,RDBP,0
BREAST,ZZZ3,0.204334142
LIVER,ZZZ3,0
LUNG,ZZZ3,0
BREAST,ZKSCAN1,0.087971321
LIVER,ZKSCAN1,0
LUNG,ZKSCAN1,0
BREAST,USF2,-0.100576292
LIVER,USF2,0.508068442
LUNG,USF2,0
BREAST,SUZ12,0.17772397
LIVER,SUZ12,0
LUNG,SUZ12,0.178846327
BREAST,SMARCC1,0.054425027
LIVER,SMARCC1,0
LUNG,SMARCC1,0
BREAST,SMARCB1,0.058734371
LIVER,SMARCB1,0
LUNG,SMARCB1,0
BREAST,SAP30,-0.170124486
LIVER,SAP30,0
LUNG,SAP30,0.14064499
BREAST,PPARGC1A,0.128420065
LIVER,PPARGC1A,0
LUNG,PPARGC1A,0
BREAST,POLR2A,-0.054265719
LIVER,POLR2A,0.06398515
LUNG,POLR2A,0.06398515
BREAST,NR3C1,-0.046656695
LUNG,NR3C1,0.000459509
LIVER,NR3C1,0.434012065
BREAST,NR2C2,0.199458659
LIVER,NR2C2,0
LUNG,NR2C2,0
BREAST,MYC,-0.063116691
LIVER,MYC,0.321343474
LUNG,MYC,0
BREAST,MXI1,-0.069252107
LIVER,MXI1,0
LUNG,MXI1,0.081041932
BREAST,MAX,-0.055902259
LIVER,MAX,0.263341164
LUNG,MAX,0
BREAST,HDAC6,0.188260028
LIVER,HDAC6,0
LUNG,HDAC6,0
BREAST,GABPA,0
LIVER,GABPA,0.570393368
LUNG,GABPA,0
BREAST,FOXP2,-0.117660787
LIVER,FOXP2,0.412877497
LUNG,FOXP2,0
BREAST,EZH2,-0.041817663
LIVER,EZH2,0.389633074
LUNG,EZH2,0.088138996
BREAST,E2F6,-0.100575051
LIVER,E2F6,0
LUNG,E2F6,0.086636156
BREAST,E2F4,-0.107209827
LIVER,E2F4,0.457706402
LUNG,E2F4,0
BREAST,CTCFL,0
LIVER,CTCFL,0
LUNG,CTCFL,0.16197102
BREAST,CREB1,-0.095383978
LIVER,CREB1,0.606962246
LUNG,CREB1,0
BREAST,ARID3A,-0.142373735
LIVER,ARID3A,0.456651392
LUNG,ARID3A,0
